,name,gender,meanings
70,Abla,g,with a full figure
71,Aboli,g,the name of a flower
72,Abree,g,feminine of abraham
73,Abri,g,feminine of abraham
74,Abriana,g,feminine of abraham
75,Abrianna,g,mother of grace
76,Abrienne,g,feminine of abraham
77,Acacia,g,"thorny tree,honorable. in the bible, acacia wood was used to build the wilderness tabernacle.."
78,Acanit,g,hard times
79,Acantha,g,a legendary nymph
80,Acca,g,from acca
81,Accalia,g,mythical greek name
82,Acchoda,g,limpid water
83,Acelin,u,noble
84,Acenath,g,daughter biblical - josephs egyptian wife.
85,Achal,u,"constant, unshaked,stable/ soul,constant; immovable"
86,Achala,g,"steady mountain origin, sanskrit.,steady, mountainous,earth, steady, mountain"
87,Achen,g,twin
88,Achilla,g,a handsome figure in greek mythology.
89,Achira,g,very short
90,Achit,g,
91,Achla,g,"the earth, stable"
92,Achlys,g,"mist, darknesss"
93,Acnes,g,chaste
94,Adabel,g,lovely or happy
95,Adain,g,"winged,winged."
96,Adal,u,sweet or noble
97,Adalbeorht,g,noble
98,Adalberto,u,"a version of the given name albert, meaning highly honored.."
99,Adalbjorg,g,nobel
100,Adalbrechta,g,noble
101,Adalheida,g,sweet or noble
102,Adali,g,noble
103,Adalicia,g,"nobility,of the nobility. noble."
104,Adalie,g,"noble,noble."
105,Adaliz,g,"of the nobility. noble.,noble"
106,Adalwolfa,g,noble she wolf
107,Adana,g,"feminine of adam,her fathers daughter. (nigerian).."
108,Adanna,g,"fathers pride,her fathers daughter. (nigerian)..,one who is the loving daughter of a father.."
109,Adanya,g,"fathers pride,her fathers daughter. (nigerian).."
110,Adarsha,g,ideal aim
111,Adbhutha,g,marvel
112,Addfwyn,g,"meek,meek."
113,Addien,g,"beautiful,beautiful."
114,Addiena,g,"beautiful,beautiful."
115,Addison,u,son of adam
116,Addyson,g,awesome
117,Adela,g,"good humor.,noble and serene"
118,Adelaide,g,"noble, kind,nobility. french form of the old german adalheidis, a compound of athal (noble) and haida (hood). adelaide, the capital of south australia, was named after queen adelaide, 19th century king william ivs consort.."
119,Adelajda,g,polish form of adelaide noble.
120,Adele,g,"noble, kind,good humor; of the nobility. noble.."
121,Adelheid,g,sweet or noble
122,Adelheide,g,sweet or noble
123,Adelia,g,noble
124,Adelicia,g,noble
125,Adelie,g,"noble, serene"
126,Adelinda,g,sweet or noble
127,Adelisa,g,"of the nobility noble,of the nobility. noble."
128,Adelise,g,noble
129,Adelle,g,"of the nobility. noble.,noble, kind"
130,Adelpha,g,sisterly
131,Adelphe,g,dear sister
132,Adelphie,g,dear sister
133,Adelyte,g,has good humor
134,Ademia,g,without husband
135,Adenydd,g,"winged,winged."
136,Aderyn,g,bird
137,Adette,g,sweet or noble
138,Adhelle,g,lovely or happy
139,Adhira,g,"lightning,quick, lightening"
140,Adhishree,g,exalted
141,Adhra,g,an apology
142,Adhrushta,g,good luck
143,Adima,g,"noble, famous"
144,Adimu,g,unique
145,Adiran,u,"from the adriatic.,of the adriatic"
146,Aditya,u,"sun,the sun"
147,Admeta,g,from a tale of hercules
148,Adoette,g,"large tree,large tree."
149,Adolpha,g,noble she wolf
150,Adolphine,g,feminine form of adolph noble wolf.
151,Adonica,g,from adam and monica
152,Adorlee,g,adored
153,Adreana,g,dark
154,Adreanna,g,dark
155,Adria,g,of the adriatic
156,Adrian,u,"dark.,of the adriatic,from the latin hadrianus meaning of adria or of the adriatic sea region. pope adrian iv was a 12 century british pope who became popular in the 1980s when sue townsend published the secret diary of adrian mole.."
157,Adriana,g,"dark.,dark, rich"
158,Adriane,g,"dark,from adria, the adriatic sea region. also means dark.."
159,Adrianna,g,"dark,wealthy."
160,Adrianne,g,dark
161,Adrie,g,"from the adriatic.,of the adriatic"
162,Adriene,g,dark
163,Adrienne,g,"dark, rich"
164,Adrijana,g,from hadria
165,Adsila,g,"blossom,blossom (cherokee)."
166,Adsilla,g,blossom
167,Adwiteya,g,unique
168,Adwitiya,g,matchless
169,Adyna,g,"wretched,wretched."
170,Aedon,g,daughter of pandareos
171,Aedre,g,stream
172,Aefentid,g,evening
173,Aegea,g,of the aegean
174,Aegileif,g,daughter of hrolf helgason.
175,Aelan,g,flower
176,Aeldra,u,noble
177,Aelfraed,u,elf counselor
178,Aelfthryth,g,"an old english name formed as a compound of aelf, meaning elf, and thryth, meaning strength.."
179,Aelfwine,g,friend of the elves
180,Aelwen,g,fair brow
181,Aelwyd,g,"from the hearth,from the hearth."
182,Aeneas,u,"worthy of praise,praise.,sometimes used in scotland as a translation of the gaelic aonghus.."
183,Aerlene,g,elfin
184,Aethelind,g,an old english name from an old german name meaning noble snake..
185,Aethelreda,g,noble maiden
186,Aethelthryth,g,"wife of king ecgfrith,an old english name from aethel meaning noble and thryth meaning strength.."
187,Aethelwine,g,friend of the elves
188,Aethelwyne,g,friend of the elves
189,Aethra,g,mother of theseus
190,Aetna,g,from aetna
191,Afaafa,g,virtuous
192,Afework,g,pleasant speaker
193,Afeworki,g,pleasant speaker
194,Affrica,g,from africa
195,Afreda,g,elf counselor
196,Afric,g,"pleasant,agreeable.,pleasant."
197,Africa,u,"pleasant, from africa,agreeable.,pleasant."
198,Afrodille,g,daffodil
199,Agafia,g,good
200,Agalaia,g,splendor
201,Agalia,g,bright joy
202,Agalvili,g,broad eyes
203,Agamdeep,g,beyond limits
204,Agamya,g,knowledge; wisdom
205,Aganagai,g,inner happiness
206,Agape,u,love of the next
207,Agata,g,"kind,kind."
208,Agatha,g,"good.,virtuous, good"
209,Agathe,g,"kind,good.,from the greek agathos meaning good.."
210,Agathi,g,good
211,Agaton,g,pure
212,Agaue,g,good
213,Agave,g,mother of pentheus good
214,Agda,g,pure
215,Aglaia,g,brilliance
216,Aglauros,g,a woman who was turned into stone by hermes.
217,Agna,g,pure
218,Agnek,g,pure
219,Agnella,g,"pure,pure."
220,Agnes,u,"pure,from the greek word hagnos, meaning chaste.."
221,Agnese,g,"pure.,pure"
222,Agnessa,g,meek
223,Agneta,g,"pure.,pure"
224,Agni,u,"pure.,one who is feared.,fire"
225,Agotha,g,good
226,Agoti,g,hungarian form of agatha kind good.
227,Agrata,u,"leader,leadership"
228,Agrima,g,leadership
229,Agriya,g,first and best
230,Ahalya,g,"wife of sage gautama,wife of rishi gautam"
231,Ahellona,g,masculine
232,Ahila,g,knowledgeable
233,Ahimsa,u,nonviolent virtue
234,Ahisma,g,gentle
235,Ahladini,g,happy lady
236,Ahonui,g,patience
237,Ahulani,g,heavenly shrine
238,Aiglentine,g,sweetbrier rose
239,Aiken,u,from the oak tree
240,Ailani,g,high chief
241,Aimee,g,beloved friend
242,Aimiliana,g,hard working
243,Aimilionia,g,hard working
244,Ainanani,g,beautiful land
245,Aindrea,u,"manly, courageous,feminine form of andrew: brave; manly. famous bearer: prince andrew.."
246,Ainsley,u,my own meadow
247,Ainslie,u,my own meadow
248,Aintza,g,glorious.
249,Aintzane,g,"glory.,glorious"
250,Aira,g,of the wind
251,Aishwarya,g,"prosperity,wealth; prosperity"
252,Aiswarya,g,wealth; prosperity
253,Aitana,g,glory
254,Aiyana,g,"eternal blossom,eternal blossom."
255,Aiyanna,g,eternal blossom
256,Ajaa,g,shakti
257,Ajagandha,g,daughter of aja
258,Ajala,g,"the earth origin, sanskrit.,the earth"
259,Ajanta,u,"eternal fame,eternal fame; a famous buddist cave"
260,Ajastha,g,
261,Ajaya,g,invincible
262,Ajinder,g,victorious
263,Akakia,g,guileless
264,Akala,g,a parrot
265,Akalanka,g,flawless faultless
266,Akane,g,someone you cannot stop loving
267,Akanksha,g,"desire,wish,expectation, wish"
268,Akansha,g,wish or desire
269,Akantha,g,thorn
270,Akashleena,g,star
271,Akasma,u,white climbing rose
272,Akeila,g,wise
273,Akela,g,noble
274,Akello,u,i have bought
275,Akenehi,g,pure
276,Akili,u,"bright. smart. (swahili].,wisdom"
277,Akira,u,"distinct,anchor.,graceful strength"
278,Akona,g,to enthuse
279,Akriti,g,"diagram,shape"
280,Aksana,g,axana
281,Akshara,g,letters
282,Akshata,g,rice
283,Akshatha,g,unscathedperfectuntouched
284,Akshayaa,g,indestructible
285,Akshi,g,existence
286,Akuti,g,princess
287,Alagammai,g,beautiful
288,Alagarasi,g,queen of beauty
289,Alagi,g,beautiful
290,Alagini,g,beautiful
291,Alagu,u,"handsome,beauty"
292,Alaiarasi,g,queen of waves
293,Alaimagal,g,daughter of the ocean
294,Alaine,g,"dear child,beautiful."
295,Alak,u,world; beautiful tresses
296,Alaka,g,"lock of curly hair,a girl with lovely hair, beauty"
297,Alakananda,g,name of a river
298,Alaknanda,g,"flawless,river name,faultless, flawless, also name of a river"
299,Alambusa,g,an apsara
300,Alamea,g,"precious, whole"
301,Alameda,g,"grove of cottonwood.,from the poplar tree"
302,Alamelu,g,
303,Alankara,g,decoration
304,Alannis,g,from atlanta
305,Alaqua,g,"sweet gum tree,sweet gum tree."
306,Alarica,g,all ruler
307,Alarice,g,"ruler of all,rules all. feminine of alaric.."
308,Alaricia,g,universal ruler
309,Alaula,g,light of dawn
310,Alavda,g,lark
311,Alazne,g,"miracle.,miracle"
312,Alba,u,"from the city of alba,a place name."
313,Albert,u,"noble, bright,noble, bright. from the old german name adalbert. famous bearers: prince albert was queen victorias consort who gave enthusiastic support to the applications of science. albert einstein discovered the theory of relativity.."
314,Alberta,g,"noble, bright,feminine form of albert from the old german adalbert meaning noble and bright. the canadian province alberta was named for queen victoria and prince alberts daughter princess louise alberta, who was married to a former canadian governor general.."
315,Alberte,g,danish feminine version of the given name albert..
316,Alberteen,g,noble
317,Albertine,g,"noble,noble, bright. feminine of albert..,feminine form of albert from the old german adalbert meaning noble and bright. albert became popular in england after queen victoria married prince albert in 1840.."
318,Albertyna,g,noble
319,Albertyne,g,"noble.,intelligent"
320,Albinia,g,"white. a feminine form of albin, introduced into britain from italy in the early 17th century. the name was frequently used by members of the aristocratic cecil family and their descendants.."
321,Albreda,g,"introduced into britain during the norman conquest, from an old german name meaning elf counsel was originally used for both sexes, but is now regarded as a feminine name.."
322,Alcine,g,famous bearer: alcine is mistress of alluring enchantments and sensual pleasures in the orlando poems..
323,Alcinia,g,famous bearer: alcine is mistress of alluring enchantments and sensual pleasures in the orlando poems..
324,Alcippe,g,daughter of ares
325,Alcmene,g,mother of hercules
326,Alcyone,g,daughter of aeolus
327,Alcyoneus,g,fought against athene
328,Aldabella,g,beautiful from leda and bell.
329,Aldara,g,a winged gift
330,Aldea,g,rich
331,Aldercy,g,chief
332,Aldis,u,from the old house
333,Aldora,g,"noble.,winged gift"
334,Aldreda,g,"feminine form of aldred: from the old english ealdraed, meaning old counsel. aldred was common before the norman conquest, and revived in the 19th century. wise or red haired man.."
335,Aldys,g,from the old house
336,Alecta,g,honesty
337,Aleda,g,"winged.,archaic.,small and winged"
338,Aleka,g,the defende
339,Aleksandra,g,defender of man
340,Aleksandrya,g,helper and defender of mankind.
341,Aleksia,g,the defender
342,Aleron,u,worn by a knight
343,Alesandese,g,"basque feminine form of alesander: helper of man..,feminine for alexander, defender of mankind."
344,Aleshanee,g,she always plays
345,Alessandra,g,italian feminine form of alexander (protector of mankind).
346,Aleta,g,"winged.,truthful one"
347,Aletha,g,truthful one
348,Alethea,g,truthful one
349,Aletheia,g,honesty
350,Aletta,g,"winged.,winged one"
351,Alewndra,g,defender of man
352,Alexander,u,protector of mankind
353,Alexandra,g,"protector of mankind,defender of man.,feminine of alexander. defender of mankind.."
354,Alexandrea,g,defender of mankind feminine of alexander.
355,Alexandria,g,"defender of mankind,feminine of alexander. defender of mankind.."
356,Alexandrine,g,feminine form alexandre
357,Alfdis,g,spirit
358,Alfonsine,g,noble
359,Alfred,u,counselor
360,Alfrida,g,elf counselor
361,Alfrieda,g,oracle
362,Algiana,g,spear
363,Algiane,g,spear
364,Algoma,g,"valley of flowers,valley of flowers."
365,Alhertine,g,feminine form of albert
366,Alhraed,g,divine counselor
367,Alieke,g,nobel
368,Aliki,g,honest.
369,Alikkees,u,haircut
370,Alinga,g,the sun
371,Aliptha,g,neutral unbiased
372,Alithia,g,wise counsellor
373,Alitta,g,truth truthful one
374,Alixandra,g,defender of mankind feminine of alexander.
375,Alka,g,"young,,lock of curly hair, small girl"
376,Alkas,g,she is timid
377,Alkira,g,the sky
378,Allard,u,"brave.,brave; noble.,absolute in spirit"
379,Allaryce,g,"rules all,rules all. feminine of alaric.."
380,Allecra,g,lively happy
381,Alleffra,g,cheerful
382,Allete,g,winged
383,Allikodi,g,alli flower vine
384,Allirea,g,quartz
385,Allora,g,the place of the swamp
386,Allunga,g,the sun
387,Allura,g,divine counselor
388,Almaz,u,diamonds
389,Almeda,g,fields of cottonwood
390,Almeta,g,"a pearl.,ambitious"
391,Alodia,g,rich
392,Alodie,g,wealthy
393,Aloha,g,"loving, kind-hearted"
394,Alohi,g,brilliant
395,Alohilani,g,bright sky
396,Aloki,u,brightness
397,Alonsa,g,"eager,ready or noble."
398,Alonza,u,"eager for war,ready for battle."
399,Alopa,g,faultless
400,Alpa,g,"little,little, tiny"
401,Alpana,g,"beautiful,floor decoration ( rangoli )"
402,Alphonsa,g,eager for war
403,Alphonsine,g,noble
404,Alphonza,g,eager for war
405,Alphosine,g,eager for war
406,Alsatia,g,"from alsace - a region in france..,from alsace-loraine area of france."
407,Alsoomse,g,"independent,independent (algonquin)."
408,Altessa,g,noble reaper
409,Altha,g,healer
410,Althaea,g,pure
411,Althaia,g,honesty
412,Althea,g,healer
413,Altheda,g,healer
414,Althee,g,healing
415,Altheta,g,healing
416,Althia,g,healer
417,Altsoba,g,all war
418,Alura,g,divine counselor
419,Alurea,g,divine counselor
420,Alvar,u,"army of elves,an old english name meaning elf army. alvar appeared in the 1086 domesday book; was revived in mid-20th century. newscaster alvar liddell..,truth-speaker or guardian.."
421,Alvara,g,army of elves
422,Alvarie,g,army of elves
423,Alvernia,g,dearly loved
424,Alvilda,g,from the old norse name alfhildr: alfr meaning elf and hildr meaning battle..
425,Alvinia,g,dearly loved
426,Alvis,u,"all-knowing.,thors daughter"
427,Alvy,u,"olive,intelligent or noble friend.."
428,Alyanna,g,"vibrant, cheerful"
429,Alyda,g,archaic
430,Alyn,g,pretty
431,Alyssandra,g,defender of mankind feminine of alexander.
432,Alzbeta,g,czechoslovakian form of elizabeth.
433,Amabella,g,lovable
434,Amabelle,g,"lovable.,loveable"
435,Amadahy,g,"forest water,forest water (cherokee)."
436,Amadora,g,the gift of love
437,Amaia,g,"end.,end or resolution"
438,Amaidhi,g,peace
439,Amaidhini,g,peaceful and sweet
440,Amalasand,g,industrious
441,Amalasanda,g,industrious
442,Amalda,g,eagle or strong
443,Amaldeepti,g,camphor
444,Amalea,g,hard working.
445,Amalie,g,"hard worker,from amelia, a derivative the old german amalburga meaning labor..,hard working. industrious. striving.."
446,Amalija,g,industrious
447,Amaliji,g,"russian form of amelia, industrious."
448,Amanda,u,"worthy of love,lovable.,worthy of being loved. literary; poets and playwrights brought this name into popular usage in the seventeenth century.."
449,Amanjot,u,"radiating the lightof peace,"
450,Amaranda,g,flower
451,Amarande,u,immortal
452,Amarante,g,"flower.,flower that never fades"
453,Amaranth,g,an unfading flower
454,Amarantha,g,flower
455,Amaravati,g,full of ambrosia
456,Amarprabha,g,eternal shine
457,Amaryllis,g,fresh flower
458,Amata,g,"dearly loved,lovable."
459,Amazonia,g,warlike
460,Amberley,g,"sky,the sky"
461,Amberly,u,"ruler of the jewels,a jewel-quality fossilized resin; as a color the name refers to a warm honey shade.."
462,Amberlyn,g,a jewel-quality fossilized resin; as a color the name refers to a warm honey shade..
463,Amberlynn,g,a jewel-quality fossilized resin; as a color the name refers to a warm honey shade..
464,Ambjorg,g,eagle protection
465,Ambrosine,g,"immortal,feminine forms of the greek ambrose.."
466,Ambrotosa,g,immortal
467,Ambruni,g,an apsara`s name
468,Ambu,g,"water origin, sanskrit,water"
469,Ambuda,g,cloud
470,Ambuvili,g,piercing eyes
471,Amelie,g,"industrious, admiring"
472,Ames,u,friend
473,Amets,g,a dream.
474,Amey,u,eagle
475,Ameya,u,"boundless,boundless, magnanimous"
476,Amhi,g,mother
477,Amhrosine,g,immortal
478,Amia,g,"beloved,beloved. dearly loved."
479,Amialiona,g,hard working
480,Amidah,g,gracious
481,Amidi,g,
482,Amie,g,"beloved,beloved. dearly loved."
483,Amiee,g,beloved
484,Amihan,g,northeast monsoon
485,Amineh,g,"trustworthy. (swahili).,faithful, trustworthy"
486,Aminta,g,the protector
487,Amisha,g,"without deceit,beautiful"
488,Amishi,g,pure
489,Amishta,g,
490,Amite,g,friend
491,Amitee,g,friend
492,Amitha,g,limitless
493,Amithi,g,unique
494,Amitjyoti,g,limitless brightness
495,Amitola,g,"rainbow,rainbow."
496,Amitrasudan,g,destroyer of enemies
497,Amity,g,"friendship.,friend. friendship.,friendship"
498,Amiya,u,"delightful,nectar; delight"
499,Amla,g,"pure,calm and quiet; the pure one"
500,Amlankusum,g,unfading flower
501,Amlett,g,painting
502,Ammani,g,gem of a girl
503,Ammu,g,pet girl in malayalam
504,Amnisty,g,freedom
505,Amoda,g,happiness
506,Amodini,g,"happy girl,pleasureable"
507,Amoldine,g,strong like an eagle
508,Amoolya,g,precious
509,Amorica,g,ancient name for britain
510,Amrapali,g,disciple of buddha
511,Amritambu,u,moon
512,Amritha,g,precious
513,Amritkala,g,nectarine art
514,Amritrashmi,g,moon light
515,Amrusha,g,"sudden,unexpected; sudden"
516,Amruta,g,"heavenly nectar,"
517,Amrutha,g,
518,Amser,g,"time,time."
519,Amshu,u,"a ray of light sunny,atom"
520,Amshula,g,sunny
521,Amshumala,g,the sun
522,Amudham,g,sweet
523,Amudhini,g,sweet
524,Amukta,g,can’t be touched - precious
525,Amulya,u,priceless
526,Amymone,g,woman who murdered her husband.
527,Anaba,g,she returns from war
528,Anagi,g,valuable
529,Anahid,g,divine
530,Anala,g,fiery
531,Analiese,g,from anna
532,Anamitra,g,the sun
533,Ananda,u,"bliss and joy,happiness"
534,Anandani,g,joyful
535,Anangee,g,cupid's consort
536,Anangu,g,
537,Anani,g,orange tree
538,Ananta,g,name of a serpent
539,Anantaa,g,eternal (woman)
540,Ananti,g,gift
541,Ananya,g,"unique,nanosecond,matchless,extraordinary; without a second"
542,Anasooya,g,friend of shakuntala; wife of the sage 'atri'
543,Anastasha,g,resurrection
544,Anastashia,g,resurrection
545,Anasuya,g,"charitable,non-jealous, wife of sage atri,friend of shakuntala; wife of the sage 'atri'"
546,Anatola,g,from the east
547,Anatole,u,from the east
548,Anavi,g,
549,Anbalagi,g,beautiful
550,Anbarasi,g,lovely
551,Anbaruvi,g,kind-hearted
552,Anbini,g,kind and sweet
553,Anbu,u,"love; kindness,love"
554,Anbulam,g,kind-hearted
555,Anbumani,u,lovely gem
556,Anbumoli,u,"who speaks kind words,who speaks kindly"
557,Ancelin,g,handmaid
558,Anchal,g,shelter
559,Anchala,g,"unshaken,one end of saree which is free ( pallu )"
560,Anchoret,g,loved
561,Anci,g,graceful
562,Andee,g,feminine of andrea
563,Andena,g,feminine of andrea
564,Andere,g,"feminine form of ander.,feminine form of andrew manly."
565,Andi,u,feminine of andrea
566,Andie,g,"feminine of andrea.,courageous"
567,Andra,u,strong and courageous
568,Andralyn,g,from andrea
569,Andranetta,g,manly brave feminine form of andrew.
570,Andrea,u,"courageous,feminine form of andrew: brave; manly. famous bearer: prince andrew..,italian form of andrew manly..,the female version of the given name andrew..,feminine form of andrew: manly..,brave. a feminine form of the greek andrew, meaning manly or brave, dating back to the 17th century. feminine form of andre.."
571,Andreana,g,"strong and womanly,feminine form of andrea: manly.."
572,Andreanna,g,manly brave feminine form of andrew.
573,Andree,g,feminine form of andre or andrew masculine.
574,Andreia,g,"a female version of the name andrew, meaning manly.."
575,Andren,u,"from the town of ardres, france."
576,Andrena,g,manly brave feminine form of andrew.
577,Andreya,g,manly brave feminine form of andrew.
578,Andriana,g,manly brave feminine form of andrew.
579,Andrianna,g,feminine of andrew
580,Andrianne,g,manly brave feminine form of andrew.
581,Andrienne,g,manly brave feminine form of andrew.
582,Andromache,g,from shakespeares play troilus and cressida.
583,Andromeda,g,rescued
584,Andrya,u,"russian form of andrew manly.,feminine form of andrew: brave; manly. famous bearer: prince andrew.."
585,Andsware,g,answer
586,Andswaru,g,answer
587,Anechka,g,grace
588,Aneesha,g,one who is supreme
589,Anemona,g,floare
590,Anemone,g,"breath,type of flower"
591,Anevay,g,superior
592,Anezka,g,"pure, chaste form of agnes."
593,Angailla,g,angel
594,Angaja,g,daughter of aja
595,Angammal,g,
596,Angana,g,"a handsome woman,one with a beautiful body"
597,Ange,g,angel
598,Angelena,g,messenger
599,Angelene,g,messenger
600,Angeletta,g,little angel
601,Angelette,g,little angel
602,Angeliki,g,angelic
603,Angelique,g,angelic
604,Angelisa,g,messenger
605,Angelyn,g,heavenly messenger
606,Angelynn,g,beautiful angel
607,Angeni,g,"spirit angel,spirit."
608,Angerboda,g,a giant
609,Angerbotha,g,a giant
610,Angevin,g,angel of wine
611,Angira,g,mother of birhaspati
612,Angirasa,g,of the mythical luminous race.
613,Angoori,g,grape-like
614,Angrboda,g,a giant
615,Angwusnasomtaqa,g,crow mother spirit
616,Angyalka,g,messenger
617,Ania,g,"graciousness,grace"
618,Anicham,g,name of a flower
619,Anideepa,g,
620,Anidipa,g,
621,Aniela,g,a heavenly messenger
622,Anielka,g,little angel
623,Aniha,g,indifferent
624,Anilaja,g,
625,Anima,g,"the power of becoming minute,"
626,Anippe,g,daughter of the nile
627,Anise,g,spice
628,Anishka,g,who ha only friends
629,Anitchka,g,grace
630,Anitra,g,"gracious,grace."
631,Anju,g,"one who lives in heart,blessings"
632,Anjushri,g,dear to one's heart
633,Ankaiyarkanni,g,eyes like fish (tamil)
634,Ankal,u,whole
635,Ankine,g,valuable
636,Ankti,g,"repeat the dance,repeat dance (hopi)."
637,Anlicnes,g,image
638,Anlienisse,g,image
639,Anmol,u,priceless
640,Annakodi,g,
641,Annali,g,graceful meadow
642,Annalie,g,graceful meadow
643,Annalies,g,mercyfull
644,Annamaria,g,bitter grace
645,Annammal,g,swan
646,Anndrea,g,feminine form of ander
647,Anneli,g,favor grace
648,Annelisa,g,combination of anne and lisa.
649,Annemarie,g,bitter grace
650,Annemette,g,bitter pearl
651,Annemie,g,bitter grace
652,Annice,g,from agnes
653,Annis,g,from agnes
654,Annisa,g,friendly
655,Annissa,g,form of ann
656,Annjaya,g,
657,Annora,g,"with honor,grace.,one of the most common forms of the name honor in the middle ages.."
658,Annunziata,g,the bearer of news
659,Annuziata,g,named for the annunciation.
660,Annys,g,whole
661,Anoona,g,perfect
662,Anora,g,"light,grace."
663,Anoush,g,sweet disposition
664,Anoushka,g,little anna
665,Anpaytoo,g,dayradiant
666,Anrid,g,wife of ketil fjorleifarson.
667,Anselma,g,"feminine form of anseim: introduced from germany by 11th century st anselm, who became archbishop of canterbury..,a divine helmet the feminine form of anselm."
668,Ansha,g,portion
669,Anshu,u,"sunbeam,ray of light,rays"
670,Anshula,g,"sunny,glowing, luminous"
671,Anshumaala,g,garland of rays
672,Anshumali,g,sun
673,Ansley,u,from the awe inspiring ones meadow.
674,Ansuya,g,learned woman
675,Antara,u,"paragraph,the crescendo in hindustani music,a notation in indian music"
676,Antariksha,g,space; sky
677,Antea,g,feminine form of antaeus son of poseidon.
678,Anteia,g,a mythological figure
679,Anthea,g,flowerlike
680,Anthia,g,"flower, lady of flowers"
681,Anthony,u,"he adds or priceless.,worthy of praise,highly praiseworthy. from a roman clan name. in the 17th century, the spelling anthony was associated with the greek anthos meaning flower.."
682,Anticlea,g,mother of odysseus
683,Antigone,g,implying strength
684,Antionette,g,form of antonia - beyond price.
685,Antiope,g,daughter of asopus
686,Antoinette,g,"flourishing, praiseworthy,feminine form of anthony: highly praiseworthy. from a roman clan name. in the 17th century, the spelling anthony was associated with the greek anthos meaning flower.."
687,Antonia,u,"praiseworthy,priceless.,feminine form of anthony: highly praiseworthy. from a roman clan name. in the 17th century, the spelling anthony was associated with the greek anthos meaning flower..,feminine form of antonio: beyond praise.."
688,Antonie,g,"fem form of anthony,priceless."
689,Antonietta,g,priceless
690,Antropas,g,a fate
691,Anttiri,g,mannish
692,Anubhoothi,g,experience
693,Anubhuti,g,experience
694,Anudeepthi,g,divine light
695,Anugraha,g,divine blessing
696,Anuhea,u,cool soft fragrance a mountain breeze.
697,Anuja,g,"youthful, young at heart,younger sister"
698,Anukriti,g,photograph
699,Anula,g,"not wild, agreeable"
700,Anulata,g,"one with very slim figure,one with very slim figure ( eg like a climber plant)"
701,Anuloma,g,sequence
702,Anumati,g,"moon,consent"
703,Anumeha,g,after the rain
704,Anumloche,g,an apsara`s name
705,Anunaya,g,gentle comfort
706,Anupa,g,pond
707,Anupama,g,"unique unparalleled,beautiful,unique, unparalleled,without any comparison; peerless"
708,Anuprabha,g,brightness
709,Anupreet,g,
710,Anupriya,g,beloved
711,Anuraga,g,love
712,Anuragini,g,beloved
713,Anuranjana,g,one who pleases the mind
714,Anurati,g,consent
715,Anureet,g,
716,Anuroopa,g,worthy
717,Anurupa,g,suitable
718,Anusha,g,"a beautiful morning star,,beautiful morning, a star"
719,Anushri,g,pretty
720,Anusia,g,grace
721,Anusuya,g,"non-jealous,friend of shakuntala; wife of the sage 'atri'"
