,name,gender,origin,meaning,url
233,Abidah,Male,Israel,father of knowledge,
234,Abidan,Male,Israel,father of judgment,
235,Abie,M or F,Israel,father or mother of many,
236,Abiel,Male,Hebrew,God is my father.,
237,Abiel,Male,Israel,god is my father,
238,Abiezer,Male,Israel,father of help,
239,Abigail,Female,Biblical,source of joy,
240,Abigall,Female,Israel,fathers joy,
241,Abihail,Male,Israel,the father of strength,
242,Abihu,Male,Israel,he is my father,
243,Abijah,Male,Hebrew,The Lord is my father.,
244,Abijah,Male,Israel,the lord is my father,
245,Abijam,Male,Israel,father of the sea,
246,Abilene,Male,Israel,the father of mourning,
247,Abimael,Male,Israel,a father sent from god,
248,Abimelech,Male,Hebrew,Father is king.,
249,Abimelech,Male,Israel,father is king,
250,Abina,Female,America,girl born on a tuesday,
251,Abinoam,Male,Israel,father of beauty,
252,Abiona,M or F,Africa,born on a journey,
253,Abir,Male,Hebrew,Strong.,
254,Abira,Female,Israel,strong,
255,Abiram,Male,Israel,father of heights,
256,Abisha,Male,Hebrew,The Lord is my father.,
257,Abisha,Male,Israel,the lord is my father,
258,Abishag,Female,Israel,ignorance of the father,
259,Abishalom,Male,Israel,father of peace,
260,Abishua,Male,Israel,father of salvation,
261,Abitub,Male,Israel,father of goodness,
262,Abiud,Male,Israel,father of praise,
263,Abjini,Female,India,lotus pond,
264,Abjörn,Male,Danish,Ancestor bear.,
265,Abla,Female,Tanzania,with a full figure,
266,Able,Male,Israel,exhalation of breath,
267,Ablendan,Male,England,blind,
268,Abner,Male,Israel,father of light,
269,Abooksigun,Male,Native American,wildcat,
270,Abornazine,Male,Native American,keeper of the flame,
271,Abra,Female,Hebrew,Mother of many.,
272,Abra,Female,Israel,mother of nations,
273,Abra,Female,Italian,Feminine of Abraham.,
274,Abracham,Male,Ireland,irish form of abraham,
275,Abraham,Male,Biblical,exalted father,
276,Abram,Male,Israel,father of nations,
277,Abramo,Male,Hebrew,Father of a multitude.,
278,Abramo,Male,Israel,father of a multitude,
279,Abrasha,Male,Israel,father,
280,Abrecan,Male,England,storm,
281,Abree,Female,Italy,feminine of abraham,
282,Abri,Female,Italy,feminine of abraham,
283,Abriana,Female,Italy,feminine of abraham,
284,Abrianna,Female,Italy,mother of grace,
285,Abrienda,Female,Spain,opening,
286,Abrienne,Female,Italy,feminine of abraham,
287,Abril,Female,Latin-America,april,
288,Absalom,Male,Israel,father of peace,
289,Absko,Male,Kenya,power,
290,Absolom,Male,Israel,my father is peace,
291,Absyrtus,Male,Greece,brother of medea,
292,Abu,Male,Africa,father,
293,Abu-Bakr,Male,Arabia,companion of mohamed,
294,Abubakar,Male,Egypt,noble,
295,Abukcheech,Male,Native American,Mouse (Algonquin).,
296,Abul-Khayr,Male,Africa,one who does good,
297,Abyan,Male,Africa,clearer more distinct,
298,Abydos,Male,Greece,from abydos,
299,Acacia,Female,Greece,thorny tree,
300,Acacio,Male,Israel,the lord holds,
301,Academia,Female,Latin-America,named for ciceros villa,
302,Academicus,Male,Latin-America,name of a philosopher,
303,Acair,Male,Scotland,anchor,
304,Acaiseid,Male,Scotland,anchor,
305,Acanit,Female,Uganda,hard times,
306,Acantha,Female,Greece,a legendary nymph,
307,Acarnania,Female,Latin-America,from arcanania,
308,Acarnanus,Male,Latin-America,from acarnania,
309,Acastus,Male,Greece,an argonaut,
310,Acca,Female,England,from acca,
311,Accalia,Female,Greece,mythical greek name,
312,Accalon,Male,Scotland,lover of morgan le fay,
313,Acchoda,Female,India,limpid water,
314,Accius,Male,Latin-America,a roman poet,
315,Ace,Male,Dominican-Republic,"unity, one",
316,Acel,Male,France,adherent of a nobleman,
317,Acelin,M or F,Germany,noble,
318,Aceline,Female,France,noble at birth,
319,Acennan,Male,England,brings,
320,Acey,Male,England,unity,
321,Achab,Male,Israel,brother of the father,
322,Achaean,Male,Latin-America,a greek,
323,Achaemenes,Male,Latin-America,a persian,
324,Achaemenius,Male,Latin-America,a persian,
325,Achaeus,Male,Latin-America,a greek,
326,Achaius,Male,Irish,Horseman.,
327,Achaius,Male,Scotland,friend of a horse,
328,Achak,Male,America,spirit,
329,Achak,Male,Native American,Spirit (Algonquin).,
330,Achan,Male,Israel,he that troubleth,
331,Achanda,Male,Indian,One who is not angry.,
332,Achar,Male,Israel,he that troubleth,
333,Acharon,Male,Hebrew,Last.,
334,Acharon,Male,Israel,last,
335,Acharya,Male,India,spiritual teacher,
336,Achates,Male,Latin-America,a friend of aeneas,
337,Achav,Male,Hebrew,Uncle.,
338,Achav,Male,Israel,uncle,
339,Achazya,Male,Hebrew,God has taken.,
340,Achazya,Male,Israel,god has taken,
341,Achban,Male,Hebrew,Brother of a smart man.,
342,Achban,Male,Israel,brother of a smart man,
343,Achbor,Male,Hebrew,"a rat, bruising",
344,Acheflow,Female,Scotland,white flower,
345,Achelous,Male,Greece,a river god,
346,Achen,Female,Uganda,twin,
347,Acher,Male,Hebrew,Other.,
348,Acher,Male,Israel,other,
349,Acheron,Male,Greece,river of sorrow/woe,
350,Acheros,Male,Latin-America,river of sorrow,
351,Achida,Male,Hebrew,Smart brother.,
352,Achida,Male,Israel,smart brother,
353,Achiiles,Male,Greece,lipless,
354,Achilles,Male,Greece,"without lips, brown, dark",
355,Achillides,Male,Latin-America,descendant of achilles,
356,Achillios,Male,Greece,name of a river,
357,Achimelech,Male,Hebrew,The king is my brother.,
358,Achimelech,Male,Israel,the king is my brother,
359,Achindra,Male,Indian,One who is perfect.,
360,Achir,Male,India,new,
361,Achisar,Male,Hebrew,The prince is my brother.,
362,Achisar,Male,Israel,the prince is my brother,
363,Achish,Male,Israel,thus it is how is this,
364,Achishar,Male,Hebrew,My brother is a song.,
365,Achishar,Male,Israel,my brother is a song,
366,Achivus,Male,Latin-America,a greek,
367,Achiya,Male,Hebrew,God is my brother.,
368,Achiya,Male,Israel,god is my brother,
369,Achlys,Female,Greece,"mist, darknesss",
370,Achmetha,Male,Israel,brother of death,
371,Achor,Female,Israel,trouble,
372,Achsah,Female,Israel,adorned bursting the veil,
373,Achyuta,Male,India,a name of vishnu,
374,Acidalia,Female,Latin-America,named for venus,
375,Acis,Male,Greece,lover of galatea,
376,Acnes,Female,Greece,chaste,
377,Acrisioniades,Male,Latin-America,descendant of acrisius,
378,Acrisius,Male,Greece,grandfather of perseus,
379,Actaeon,Male,Latin-America,a hunter,
380,Actaeonis,Male,Latin-America,a hunter,
381,Actaeus,Male,Latin-America,from athens,
382,Acton,Male,England,settlement of oak trees,
383,Actor,Male,Latin-America,son of azeus,
384,Actoris,Male,Latin-America,son of azeus,
385,Acwel,Male,England,kills,
386,Acwellen,Male,England,kills,
387,Ada,Female,Germany,"noble, happy",
388,Ada,Female,Hebrew,Ornament.,
389,Adabel,Female,Germany,lovely or happy,
390,Adad,Male,Greece,storm and flood god,
391,Adadah,Male,Israel,testimony of the assembly,
392,Adael,Male,Hebrew,Gods ornament.,
393,Adael,Male,Israel,gods ornament,
394,Adag,Male,India,pure blemishless,
395,Adah,Female,Israel,ornamental,
396,Adahy,Male,America,lives in the woods,
397,Adaiah,Male,Hebrew,Witness of God.,
398,Adaiah,Male,Israel,the witness of the lord,
399,Adain,Female,England,winged,
400,Adain,Female,Welsh,Winged.,
401,Adair,Male,England,noble,
402,Adair,Male,Gaelic,From the oak tree ford.,
403,Adaira,Female,Scotland,from the oak tree ford,
404,Adairia,Female,Scotland,from the oak tree ford,
405,Adal,M or F,Germany,sweet or noble,
406,Adalard,Male,Germany,brave,
407,Adalardo,Male,Ireland,noble,
408,Adalbeorht,Female,England,noble,
409,Aðalbert,Male,Danish,"First, highly honored.",
410,Adalbert,Male,Germany,intelligent or noble,
411,Adalbjorg,Female,Iceland,nobel,
412,Adalbrechta,Female,England,noble,
413,Adalene,Female,France,derived from adela,
414,Adalgar,Male,Germany,noble spearman,
415,Adalgiso,Male,Germany,noble hostage,
416,Adalhard,Male,Germany,brave,
417,Adalheida,Female,Germany,sweet or noble,
418,Adali,Female,Germany,noble,
419,Adalia,Female,Germany,god is my refuge,
420,Adalia,Female,Spanish,Of the nobility. Noble.,
421,Adalicia,Female,France,nobility,
422,Adalicia,Female,German,Of the nobility. Noble.,
423,Adalie,Female,France,noble,
424,Adalie,Female,German,Noble.,
425,Adalina,Female,Germany,noble,
426,Adaline,Female,Germany,noble,
427,Adalira,Female,Latin-America,fairy of the harp,
428,Adaliz,Female,French,Of the nobility. Noble.,
429,Adaliz,Female,Germany,noble,
430,Adalric,Male,Germany,noble friend,
431,Adalrik,Male,Germany,noble friend,
432,Adalson,Male,England,son of all,
433,Adalstienn,Male,Iceland,nobel stone,
434,Adalwen,Male,Germany,noble friend,
435,Adalwin,Male,Germany,noble friend,
436,Adalwine,Male,Germany,noble friend,
437,Adalwolf,Male,Germany,noble wolf,
438,Adalwolfa,Female,Germany,noble she wolf,
439,Adalyn,Female,France,derived from adela,
440,Adam,Male,English,Of the red earth.,
441,Adam,Male,Israel,man of the earth,
442,Adamah,Male,Israel,"red earth, of blood",
443,Adamina,Female,Israel,woman of the earth,
444,Adamma,Female,Africa,beautiful girl,
445,Adamnan,Male,England,name of an abbot,
446,Adamnan,Male,Irish,Little Adam.,
447,Adamson,Male,England,son of adam,
448,Adamya,Male,India,difficult,
449,Adan,Female,Ireland,little fire,
450,Adana,Female,Spain,feminine of adam,
451,AdaNalie,Female,Spain,beautiful,
452,Adanna,Female,Nigeria,fathers pride,
453,Adanya,Female,Nigeria,fathers pride,
454,Adar,M or F,Hebrew,Noble.,
455,Adar,Female,Israel,fire,
456,Adara,Female,Arabia,chaste one,
457,Adara,Female,Hebrew,Fire.,
458,Adara,Female,Welsh,Catches birds.,
459,Adarsh,Male,India,ideal,
460,Adarsha,Female,India,ideal aim,
461,Adbeel,Male,Israel,vapor,
462,Adbhutha,Female,India,marvel,
463,Adda,Female,England,wealthy,
464,Addai,Male,Israel,man of god,
465,Addergoole,Male,Ireland,from between two fords,
466,Addfwyn,Female,England,meek,
467,Addfwyn,Female,Welsh,Meek.,
468,Addi,Female,Israel,my witness adorned prey,
469,Addie,Female,France,derived from adela,
470,Addien,Female,England,beautiful,
471,Addien,Female,Welsh,Beautiful.,
472,Addiena,Female,England,beautiful,
473,Addiena,Female,Welsh,Beautiful.,
474,Addis,Male,England,son of adam,
475,Addison,Male,England,son of adam,
476,Addo,Female,Africa,king of the road,
477,Addolgar,Male,England,devout,
478,Addolgar,Male,Welsh,Devout.,
479,Addy,Male,England,ardent,
480,Addyson,Female,England,awesome,
481,Ade,Male,Africa,crown,
482,Adea,Female,Germany,noble,
483,Adebayo,Male,Africa,nigerian for he was happy,
484,Adeben,Male,Africa,twelfth-born son,
485,Adeeb,Male,Africa,scholar litttrateur,
486,Adeen,Female,Ireland,little fire,
487,Adel,Male,Germany,noble,
488,Adela,Female,French,Good humor.,
489,Adela,Female,Germany,noble and serene,
490,Adelaide,Female,Germany,"noble, kind",
491,Adelard,Male,Germany,nobly resolute,
492,Adelbert,Male,Germany,intelligent or noble,
493,Adele,Female,Germany,"noble, kind",
494,Adelhard,Male,Germany,resolute,
495,Adelheid,Female,Germany,sweet or noble,
496,Adelheide,Female,Germany,sweet or noble,
497,Adelia,Female,France,noble,
498,Adelicia,Female,Germany,noble,
499,Adelie,Female,America,"noble, serene",
500,Adelina,Female,France,of the nobility,
501,Adelina,Female,Spanish,Noble or kind or winged.,
502,Adelinda,Female,Germany,sweet or noble,
503,Adeline,Female,France,"noble, kind",
504,Adelino,Male,Germany,noble,
505,Adelio,Male,Cuba,noble,
506,Adelisa,Female,France,of the nobility noble,
507,Adelisa,Female,German,Of the nobility. Noble.,
508,Adelise,Female,France,noble,
509,Adelita,Female,Germany,sweet or noble,
510,Adella,Female,Spain,of the nobility,
511,Adelle,Female,French,Of the nobility. Noble.,
512,Adelle,Female,Germany,"noble, kind",
513,Adelma,Female,Spain,old,
514,Adelmo,Male,Germany,noble protector,
515,Adelpha,Female,Greece,sisterly,
516,Adelphe,Female,Greece,dear sister,
517,Adelphie,Female,Greece,dear sister,
518,Adelphos,Male,Greece,brother,
519,Adelric,Male,Germany,noble commander,
520,Adelynn,Female,France,derived from adela,
521,Adelyte,Female,Germany,has good humor,
522,Adem,Male,Africa,red earth,
523,Ademaro,Male,Germany,glorious in battle,
524,Ademia,Female,Greece,without husband,
525,Aden,Male,Israel,handsome,
526,Adena,Female,Hebrew,Tender.,
527,Adena,Female,Israel,tender,
528,Adene,Female,Hebrew,Tender.,
529,Adene,Female,Israel,tender,
530,Adenydd,Female,England,winged,
531,Adenydd,Female,Welsh,Winged.,
532,Adeola,Female,Africa,crown has honor,
533,Aderes,Female,Israel,protector,
534,Aderet,Male,Hebrew,Crown.,
535,Aderet,Male,Israel,crown,
536,Aderrig,Male,Ireland,from the red ford,
537,Aderyn,Female,England,bird,
538,Adette,Female,Germany,sweet or noble,
539,Adham,Male,Africa,black,
540,Adhamh,Male,Gaelic,Gaelic form of Adam.,
541,Adhamh,Male,Irish,Of the earth.,
542,Adhamh,Male,Scotland,of the earth,
543,Adhamhnan,Male,Scotland,of the earth,
544,Adharma,Male,India,lawless,
545,Adheesha,Male,India,king,
546,Adhelle,Female,Germany,lovely or happy,
547,Adhideva,Male,India,the supreme god,
548,Adhra,Female,Tanzania,an apology,
549,Adhrushta,Female,India,good luck,
550,Adi,Male,India,a form of vasishtha,
551,Adia,Female,Africa,gift,
552,Adia,Female,English,Wealthy.,
553,Adiba,Female,Arabia,polite,
554,Adie,Female,Germany,"noble, kind",
555,Adiel,Male,Africa,goat,
556,Adil,Male,Arabia,judicious,
557,Adila,Female,Africa,"just, fair",
558,Adilene,Female,France,derived from adela,
559,Adima,Female,Germany,"noble, famous",
560,Adimu,Female,Tanzania,unique,
561,Adin,Female,Israel,beautiful,
562,Adina,Female,Hebrew,Slender.,
563,Adina,Female,Israel,beautiful,
564,Adinah,Female,Hebrew,Slender.,
565,Adinah,Female,Israel,slender,
566,Adinam,Female,Hebrew,Tender.,
567,Adinam,Female,Israel,tender,
568,Adine,Female,Hebrew,Tender.,
569,Adine,Female,Israel,delicate,
570,Adio,Male,African,Righteous. (Nigerian.).,
571,Adio,Male,Egypt,righteous,
572,Adir,Male,Hebrew,Noble.,
573,Adir,Male,Israel,noble,
574,Adira,Female,Arabia,strong,
575,Adiran,Male,Basque,From the Adriatic.,
576,Adiran,M or F,Latin-America,of the adriatic,
577,Adisa,Male,African,The clear one (Nigerian).,
578,Adisa,Male,Nigeria,clear spoken,
579,Adish,Male,Africa,fire,
580,Adit,Male,India,first born,
581,Adita,Female,Africa,basket,
582,Aditeya,Male,Indian,The sun.,
583,Adithaim,Male,Israel,"assemblies, testimonies",
584,Aditi,M or F,India,free and unbounded,
585,Aditsan,Male,Native American,Listener (Navajo).,
586,Aditya,M or F,India,sun,
587,Adiv,Male,Hebrew,Gentle; delicate.,
588,Adiv,Male,Israel,delicate,
589,Adiva,Female,Arabia,gentle,
590,Adken,Male,England,oaken,
591,Adkins,Male,England,son of aiken,
592,Adkyn,Male,England,oaken,
593,Adla,Female,Tanzania,justice,
594,Adlai,Male,Israel,ornament,
595,Adlar,Male,Germany,eagle,
596,Adler,Male,English,Eagle.,
597,Adler,Male,Germany,an eagle,
598,Adley,Male,Hebrew,Judicious.,
599,Adley,Male,Israel,the just,
600,Adli,Male,Israel,ornament,
601,Admah,Male,Hebrew,"earthy, red, bloody",
602,Admeta,Female,Greece,from a tale of hercules,
603,Admetus,Male,Greece,a king of pherae,
604,Admina,Female,Hebrew,Of the red earth.,
605,Admina,Female,Israel,of the red earth,
606,Admon,Male,Hebrew,Red peony.,
607,Admon,Male,Israel,red peony flower,
608,Adna,Female,Israel,"pleasure, delight",
609,Adnah,Female,Israel,eternal rest,
610,Adnan,Male,Arabia,pleasure,
611,Adne,Male,Germany,eagle,
612,Adney,Male,England,lives on the noble,
613,Adniel,Male,Hebrew,Of Gods flock.,
614,Adniel,Male,Israel,of gods flock,
615,Adny,Male,England,lives on the noble,
616,Adoeete,Male,Native American,kiowa word for tree,
617,Adoette,Female,America,large tree,
618,Adoette,Female,Native American,Large tree.,
619,Adofo,Male,Africa,ghanian word for warrior,
620,Adok,Male,Latin-America,of the adriatic,
621,Adolf,Male,Germany,noble wolf,
622,Adolfina,Female,Germany,"noble wolf, noble hero",
623,Adolfo,Male,Latin-America,wolf,
624,Adolph,Male,Germany,wolf,
625,Adolpha,Female,Germany,noble she wolf,
626,Adolphus,Male,Germany,noble wolf,
627,Adom,Male,African,Gods blessing. (Ghanian).,
628,Adon,Male,Hebrew,Lord.,
629,Adon,Male,Israel,the lord,
630,Adonai,Male,Israel,my lord,
631,Adoncia,Female,Spain,sweet,
632,Adonia,Female,Spain,beautiful,
633,Adoniah,Male,Hebrew,The Lord is my God.,
634,Adoniah,Male,Israel,the lord is my god,
635,Adonica,Female,America,from adam and monica,
636,Adonikam,Male,Israel,the lord is raised,
637,Adonis,Male,Greece,beautiful,
638,Adora,Female,Latin-America,beloved one,
639,Adorabella,Female,Latin-America,adored beauty,
640,Adorabelle,Female,Latin-America,adored beauty,
641,Adoracion,Female,Spain,adoration,
642,Adoree,Female,Latin-America,glory,
643,Adoria,Female,Latin-America,glory,
644,Adorlee,Female,France,adored,
645,Adras,Male,Greece,manly,
646,Adrasteia,Female,Latin-America,unyielding,
