,name,gender,meanings
277,Abdalla,b,"servant of god. (swahili)..,derived from abdallah, servants of allah."
278,Abdallah,b,slave of god
279,Abdalrahman,b,servant of the merciful one.
280,Abdeel,b,a vapor a cloud of god
281,Abdel,b,servent
282,Abdel-Ati,b,servant of allah
283,Abdel-Salam,b,servant of peace
284,Abdelaziz,b,
285,Abdera,g,from abdera
286,Abderus,b,a friend of hercules
287,Abdhija,g,born in sea goddess lakshmi.
288,Abdi,b,my servant
289,Abdia,g,slave of allah.
290,Abdiel,b,servent of god
291,Abdon,b,"servant, cloud of judgment."
292,Abdou,b,
293,Abdoulaye,b,
294,Abduh,b,an epithet of muhammad
295,Abdukrahman,b,slave of the merciful god
296,Abdul,b,servant of
297,Abdul Aalee,b,servant of the most high.
298,Abdul Adl,b,slave of the just.
299,Abdul Afuw,b,slave of the one who pardons.
300,Abdul Ahad,b,slave of he who is one (allah).
301,Abdul Aleem,b,servant of the omniscient.
302,Abdul Ali,b,slave of the high one.
303,Abdul Alim,b,slave of the all knowing.
304,Abdul Awwal,b,slave of the first one.
305,Abdul Azeem,b,servant of the mighty
306,Abdul Azeez,b,the servant of the most powerful.
307,Abdul Azim,b,slave of the great.
308,Abdul Aziz,b,servant of the powerful one.
309,Abdul Baari,b,servant of the creator.
310,Abdul Baasit,b,servant of the extender and creator.
311,Abdul Badee,b,slave of the originator.
312,Abdul Baith,b,slave of the one who raises death.
313,Abdul Baqi,b,slave of the eternal.
314,Abdul Bari,b,slave of the creator.
315,Abdul Baseer,b,slave of the all-seeing.
316,Abdul Basit,g,slave of the enlarger.
317,Abdul Batin,b,slave of the unseen.
318,Abdul Fattah,b,"slave of the opener, slave of the giver of victory."
319,Abdul Ghafaar,b,servant of the forgiver
320,Abdul Ghafoor,b,servant of the forgiver
321,Abdul Hafeez,b,slave of the protector.
322,Abdul Hafiz,b,slave of the guardian.
323,Abdul Hakam,b,servant of the arbitrator
324,Abdul Hakeem,b,servant of the wise
325,Abdul Haleem,b,servant of the mild and patient
326,Abdul Halim,b,slave of the wise.
327,Abdul Hameed,b,servant of the praiseworthy and the ever-praised
328,Abdul Hamid,b,slave of the praiseworthy.
329,Abdul Hannan,b,slave of the merciful.
330,Abdul Haq,b,servant of the truth
331,Abdul Haseeb,b,servant of the respected and esteemed
332,Abdul Hasib,b,slave of the reckoner.
333,Abdul Hayy,b,slave of the living.
334,Abdul Jabaar,b,servant of the mighty.
335,Abdul Jaleel,b,servant of the great and revered
336,Abdul Jawwad,b,slave of the bountiful.
337,Abdul Kabir,b,slave of the great.
338,Abdul Kareem,b,servant of the noble and generous
339,Abdul Karim,b,slave of the gracious.
340,Abdul Khabir,b,slave of the one who is aware.
341,Abdul Lateef,b,servant of the kind
342,Abdul Maajid,b,slave of the excellence.
343,Abdul Maalik,b,"slave of the master, the lord."
344,Abdul Majeed,b,servant of the glorious
345,Abdul Mani,b,slave of one who prevents.
346,Abdul Mannan,b,slave of the benefactor.
347,Abdul Mateen,b,slave of the firm.
348,Abdul Mubdee,b,slave of the originator.
349,Abdul Mueed,b,"slave of the restorer, the reproducer."
350,Abdul Muhaimin,b,"servant of the supervising, the guardian and the protector"
351,Abdul Muhaymin,b,slave of the protector.
352,Abdul Muhsin,b,slave of the benefactor.
353,Abdul Muhyee,b,slave of the one who gives life and sustains it.
354,Abdul Muiz,b,servant of the giver of might and glory
355,Abdul Mujeeb,b,servant of the responder
356,Abdul Munim,b,slave of the generous.
357,Abdul Muntaqim,b,slave of him who punishes wrongdoings and seizes retribution.
358,Abdul Muqeet,b,slave of the sustainer.
359,Abdul Muqsit,b,slave of the just.
360,Abdul Musawwir,b,slave of the fashioner.
361,Abdul Mutaal,b,servant of the most high
362,Abdul Muti,b,slave of the giver.
363,Abdul Muzanni,b,he was a narrator of hadith.
364,Abdul Nafi,b,slave of the propitious.
365,Abdul Naseer,b,slave of the helper.
366,Abdul Noor,b,slave of the one who is light.
367,Abdul Qaadir,b,servant of the capable
368,Abdul Qadeer,b,slave of the powerful.
369,Abdul Qadir,b,slave of the powerful.
370,Abdul Qahaar,b,servant of the subduer and the almighty
371,Abdul Qayyum,b,slave of the self-subsistent.
372,Abdul Qudoos,b,servant of the most holy
373,Abdul Raafi,b,"servant of the one who raises (intellect, esteem), one who elevates"
374,Abdul Rabb,b,slave of the lord.
375,Abdul Rafi,b,slave of the exalter.
376,Abdul Raheem,b,servant of the most compassionate
377,Abdul Rahim,b,slave of the compassionate.
378,Abdul Rahman,b,servant of the merciful one.
379,Abdul Raqib,b,slave of the vigilant.
380,Abdul Rauf,b,servent of the merciful.
381,Abdul Tawwab,b,"slave of the acceptor of repentance, the relenting."
382,Abdul Waali,b,slave of the governor.
383,Abdul Wahid,b,slave of the unique.
384,Abdul Wajid,b,"slave of the finder, the perceiver."
385,Abdul Wakil,b,slave of the trustee.
386,Abdul Waliy,b,slave of the protecting friend.
387,Abdul Wasi,b,slave of the all embracing.
388,Abdul-Aalee,b,"servant of the most high,servant of the most high."
389,Abdul-Adheem,b,servant of the most great.
390,Abdul-Aleem,b,"servant of the omniscient,servant of the all-knowing."
391,Abdul-Azeem,b,servant of the mighty
392,Abdul-Azeez,b,"servant of the mighty the powerful.,servant of the mighty, the powerful"
393,Abdul-Baaqi,b,servant of the everlasting.
394,Abdul-Baari,b,"servant of the creator,servant of the evolver."
395,Abdul-Baasit,b,"servant of the extender creator.,servant of the extender, creator,servant of the expander."
396,Abdul-Barr,b,servant of the source of goodness.
397,Abdul-Dhahir,b,servant of the manifest.
398,Abdul-Fataah,b,servant of the opener (of the gates of sustenance)
399,Abdul-Ghafaar,b,servant of the forgiver
400,Abdul-Ghaffar,b,servant of the forgiver.
401,Abdul-Ghafoor,b,servant of the forgiver
402,Abdul-Ghafur,b,servant of the all-forgiving.
403,Abdul-Ghani,b,servant of the self-sufficient.
404,Abdul-Haady,b,servant of the guide
405,Abdul-Haafiz,b,servant of the protector
406,Abdul-Hadi,b,servant of the guide.
407,Abdul-Hafeedh,b,servant of the preserver.
408,Abdul-Hafeez,b,one who serves the master
409,Abdul-Hakam,b,servant of the arbitrator
410,Abdul-Hakeem,b,"servant of the wise,servant of the wise."
411,Abdul-Hakim,b,servant of the wise
412,Abdul-Haleem,b,"servant of the mild, patient,servant of the forbearing one."
413,Abdul-Halim,b,servant of the mild patient.
414,Abdul-Hameed,b,"servant of the praiseworthy, the ever-praised,servant of the praiseworthy."
415,Abdul-Haq,b,servant of the truth
416,Abdul-Haqq,b,servant of the truth.
417,Abdul-Haseeb,b,"servant of the respected esteemed.,servant of the respected, esteemed,servant of the reckoner."
418,Abdul-Jabaar,b,servant of the mighty
419,Abdul-Jabbar,b,"one who serves the comforter.,servant of the compeller."
420,Abdul-Jaleel,b,"servant of the great revered.,servant of the great, revered,servant of the sublime one."
421,Abdul-Kareem,b,"servant of the noble generous.,servant of the noble, generous,servant of the most generous."
422,Abdul-Karim,b,one who serves a generous man.
423,Abdul-Khaaliq,b,servant of the creator
424,Abdul-Khaliq,b,servant of the creator.
425,Abdul-Lateef,b,"servant of the kind,servant of the subtle one."
426,Abdul-Latif,b,one who serves a kind man
427,Abdul-Majeed,b,"servant of the glorious,servant of the most glorious."
428,Abdul-Majid,b,servant of the noble.
429,Abdul-Malik,b,servant of the sovereign lord.
430,Abdul-Mateen,b,"servant of the firm strong.,servant of the firm, strong"
431,Abdul-Mu'eid,b,servant of the restorer.
432,Abdul-Mu'izz,b,servant of the honourer.
433,Abdul-Mughni,b,servant of the enricher.
434,Abdul-Muhaimin,b,"servant of the supervising, the guardian, the protector"
435,Abdul-Muiz,b,"servant of the giver of might and glory.,servant of the giver of might and glory"
436,Abdul-Mujeeb,b,"servant of the responder,servant of the responsive."
437,Abdul-Mumin,b,servant of the guardian of faith.
438,Abdul-Muqtadir,b,servant of the powerful.
439,Abdul-Muta'alee,b,servant of the most exalted.
440,Abdul-Mutaal,b,servant of the most high
441,Abdul-Nasser,b,"servant of the helper granting victory.,servant of the helper, granting victory"
442,Abdul-Nur,b,servant of the light.
443,Abdul-Qaadir,b,"servant of the capable,servant of the able."
444,Abdul-Qadir,b,one who serves a capable man.
445,Abdul-Qahaar,b,"servant of the subduer the almighty.,servant of the subduer, the almighty"
446,Abdul-Qahhar,b,servant of the subduer.
447,Abdul-Qaiyoum,b,servant of the self-sustaining.
448,Abdul-Quddus,b,servant of the holy.
449,Abdul-Qudoos,b,servant of the most holy
450,Abdul-Raafi',b,"servant of the one who raises (intellect, esteem), elevates"
451,Abdul-Raheem,b,servant of the most compassionate
452,Abdul-Rahim,b,servant of the most compassionate.
453,Abdul-Rahmaan,b,servant of the mercifully gracious
454,Abdul-Rahman,b,servant of the mercifully gracious.
455,Abdul-Raouf,b,"servant of the most merciful.,servant of the most merciful"
456,Abdul-Rasheed,b,"servant of the rightly guided.,servant of the rightly guided"
457,Abdul-Rashid,b,servant of the rightly guided.
458,Abdul-Razaaq,b,"servant of the maintainer the provider.,servant of the maintainer, the provider"
459,Abdul-Saboor,b,servant of the patient
460,Abdul-Salaam,b,servant of the peace
461,Abdul-Salam,b,"derived from abdal salam, servant of peace."
462,Abdul-Samad,b,servant of the eternal
463,Abdul-Samee,b,servant of the all-hearing.
464,Abdul-Samee',b,servant of the all-hearing
465,Abdul-Shakoor,b,"servant of the most thankful.,servant of the most thankful"
466,Abdul-Tawaab,b,servant of the forgiver
467,Abdul-Waahid,b,servant of the one
468,Abdul-Waajid,b,servant of the finder.
469,Abdul-Wadood,b,"servant of the loving,servant of the loving."
470,Abdul-Wahaab,b,servant of the giver
471,Abdul-Wahhab,b,servant of the best-ower.
472,Abdul-Warith,b,servant of the supreme inheritor.
473,Abdulkareem,b,slave of the generous god
474,Abdulla,b,servant of god
475,Abdullah,b,"variation of abdallah, servant of allah, servant of god.,servant of god,servant of allah."
476,Abdullahi,b,
477,Abdulrahman,b,slave of the merciful god
478,Abdur,b,
479,Abdur Rahman,b,slave of allah.
480,Abdur Rashid,b,slave of the guide.
481,Abdur Razzaq,b,slave of the provider
482,Abdur-Raheem,b,servant of the most merciful.
483,Abdur-Rahim,b,one who serves a compassionate man.
484,Abdur-Rahman,b,servant of the most gracious.
485,Abdur-Raqeeb,b,servant of the watchful.
486,Abdur-Rasheed,b,servant of the guide to right path.
487,Abdur-Rashid,b,one who serves a righteous man.
488,Abdur-Rauf,b,servant of the compassionate.
489,Abdur-Razzaq,b,servant of the provider.
490,Abdurrahman,b,
491,Abdus,b,name of the narrator of one of the hadith.
492,Abdus Sabur,b,slave of the forbearing.
493,Abdus Salaam,b,slave of the giver of peace.
494,Abdus Samad,b,"slave of the eternal, the independent."
495,Abdus Sami,b,slave of the all hearing.
496,Abdus Sattar,b,slave of the one who conceals faults.
497,Abdus Shafi,b,slave of the healer.
498,Abdus Subbooh,b,slave of the extremely pure.
499,Abdus-Sabour,b,servant of the patient.
500,Abdus-Salaam,b,servant of the source of peace.
501,Abdus-Salam,b,"derived from abdal salam, servant of peace."
502,Abdus-Samad,b,servant of the eternal.
503,Abdus-Sameei,b,servant of the all-hearing.
504,Abdus-Shaheed,b,servant of the witness.
505,Abdus-Shakur,b,servant of the appreciative.
506,Abdush Shahid,b,slave of the witness.
507,Abdülmecid,b,
508,Abdülâziz,b,
509,Abe,b,"father of nations,diminutive of abraham: father of a multitude. in genesis the old testament patriarch abrams name was changed to abraham when it was revealed he would be father of the hebrew nation. further popularized by 19th century us president abraham lincoln.."
510,Abebe,u,"asked for (nigerian).,grown"
511,Abebi,g,asked for (nigerian).
512,Abed,b,"worshipper adorer,worshipper"
513,Abedabun,g,"sight of day,sight of day (chippewa)."
514,Abedin,b,worshippers
515,Abednego,b,"servant of light, shining"
516,Abeedah,g,worshipper.
517,Abeeku,b,ghanian word for one who is born on wednesday..
518,Abeela,g,to be beautiful.
519,Abeer,u,"fragrance,fragrance."
520,Abeera,g,the mixture of the smell of the petals of rose and sundal.
521,Abeerah,g,"rose, sandal saffron mixed together in fragrance."
522,Abegaila,g,my father is joy
523,Abegayle,g,"gives joy.,gives joy"
524,Abejide,b,nigerian name for one who is born in the wintertime..
525,Abejundio,b,bee
526,Abeke,g,we begged for her
527,Abel,b,"breath,breath; son; breathing spirit. in the old testament, abel was the son of adam and eve who was killed by his brother cain in a fit of jealousy.."
528,Abelard,b,resolute
529,Abelardo,b,
530,Abell,b,"exhalation of breath,exhalation of breath. the second son of adam in the bible. the variant able is used as an english surname.."
531,Abella,g,breath
532,Abellona,g,manly
533,Abellone,g,masculine
534,Abelone,g,feminine version of the greek given name apollonios..
535,Abeltje,g,breath
536,Abeni,g,girl prayed for
537,Abeo,g,happy she was born
538,Abeodan,b,announce
539,Abequa,g,"stays at home,stays at home (chippewa)."
540,Abeque,g,"stays at home,stays at home (chippewa)."
541,Aberfa,g,"from the mouth of the river.,from the mouth of the river.."
542,Abergavenny,b,king henry the eighth lord abergavenny.
543,Abernethy,b,the mouth of the nethy river.
544,Abertha,g,"sacrifice,sacrifice."
545,Aberthol,b,"sacrifice,sacrifice."
546,Aberto,b,italian form of albert noble.
547,Abesaloma,b,"derived from apekaloma, peaceful father."
548,Abetzi,g,yellow leaf
549,Abey,g,leaf
550,Abeytu,g,green leaf
551,Abha,g,"luster shine origin, sanskrit.,lustrous beauty,shine"
552,Abhaidev,b,free of fear
553,Abhaijeet,b,victory over fear
554,Abhainn,b,river
555,Abharan,b,jewel
556,Abharika,g,one who has a halo over her head.
557,Abhay,b,"a son of dharma,fearless,fearless, a son of dharma"
558,Abhaya,g,"fearless origin, sanskrit,a fearless woman,fearless, goddess durga"
559,Abhayananda,b,one who enjoys being without fear..
560,Abhayankari,g,the one who dispels fear
561,Abheek,b,fearless
562,Abhi,b,fearless
563,Abhibhava,b,one who has power.
564,Abhichandra,b,beautiful moon
565,Abhidhar,b,who wears serpents
566,Abhigeetha,g,praised
567,Abhigya,g,expert
568,Abhigyan,b,token
569,Abhijaat,b,well born
570,Abhijaata,g,well born (woman)
571,Abhijat,b,"a person of noble birth,noble, wise"
572,Abhijay,b,"victorious,total victory"
573,Abhijaya,g,victorious
574,Abhijeet,b,victorious; one who has been/has conquered
575,Abhijit,b,"a constellation dear to hari.,victorious"
576,Abhijit /Abhijeet,b,"one who is victorious, a star"
577,Abhijita,g,victorious woman
578,Abhijitha,g,lakshmi
579,Abhik,b,beloved
580,Abhikhya,g,beauty fame
581,Abhilash,b,"wish desire,desire,wish / desire"
582,Abhilasha,g,"desire,wish, desire,ambition, desire"
583,Abhimaaninee,g,who possess pride
584,Abhimakar,b,one who has/gives warmth
585,Abhiman,b,self respect
586,Abhimanini,g,a girl with self respect
587,Abhimanuya,b,the son of arjun in mahabharat
588,Abhimanya,b,"short tempered,the son of arjun in mahabharat"
589,Abhimanyu,b,"person killed by lakshmana.,son of arjuna"
590,Abhinabhas,b,"one who is well known, famous.."
591,Abhinandan,b,"handsome son congratulatory greetings.,congratulation"
592,Abhinandana,g,happiness good wishes
593,Abhinav,b,"modern new novel,brand new,quite new"
594,Abhineet,b,actor
595,Abhinetri,g,actress dancer
596,Abhinivesh,b,"long cherished desire,desire"
597,Abhinivesha,g,long cherished desire
598,Abhipsa,g,strong desire
599,Abhira,g,cow herd
600,Abhiraam,b,pleasing
601,Abhiraj,b,"handsome,fearless king"
602,Abhiraja,b,great king
603,Abhiram,b,lovely pleasing
604,Abhirami,g,goddess parvati
605,Abhirath,b,"handsome,great charioteer"
606,Abhiri,g,a raagini of indian music
607,Abhiroopa,g,attractive
608,Abhiruchi,g,beautiful
609,Abhirup,b,"handsome,very nice; pleasing; handsome"
610,Abhirupa,g,beautiful (woman)
611,Abhisar,b,companion
612,Abhisarikaa,g,the beloved one
613,Abhishek,b,"ceremonious holy bath given to a deity.,an auspicious bath for a deity,shower of milk / water over an idol"
614,Abhisit,b,
615,Abhitha,g,fearless (goddess parvati)
616,Abhivaadan,b,greeting
617,Abhivachan,b,good word
618,Abhivadak,b,one who salutes respectfully.
619,Abhivandan,b,salutation with respect
620,Abhivandya,b,one who is greeted respectfully.
