id,Name,Gender,Language,Meaning,,,,
112,Agathiyan,Boy,Tamil,Name of a Saint,,,,
113,Agavoli,Boy,Tamil,Intelligent; Brilliant,,,,
114,Agendra,Boy,Tamil,Himalayan mountain,,,,
115,Agharna,Boy,Tamil,the moon,,,,
116,Aghat,Boy,Tamil,destroyer of sin,,,,
117,Aghosh,Boy,Tamil,"quiet, soundless",,,,
118,Agnimitra,Boy,Tamil,friend of fire,,,,
119,Agniprava,Boy,Tamil,bright as the fire,,,,
120,Agnivesh,Boy,Tamil,bright as the fire,,,,
121,Agraj,Boy,Tamil,"leader, senior",,,,
123,Agrata,Boy,Tamil,leadership,,,,
124,Agrim,Boy,Tamil,leader; first,,,,
125,Agyeya,Boy,Tamil,unknown,,,,
126,Ahan,Boy,Tamil,one who is of the nature of time itself,,,,
127,Ahilan,Boy,Tamil,Knowledgeable,,,,
128,Ainesh,Boy,Tamil,the sun's glory,,,,
129,Airaawat,Boy,Tamil,the celestial white elephant,,,,
130,Aja,Boy,Tamil,unborn,,,,
131,Ajaat,Boy,Tamil,unborn,,,,
132,Ajaatshatru,Boy,Tamil,who has no enemies,,,,
133,Ajanta,Boy,Tamil,eternal fame,,,,
134,Ajar,Boy,Tamil,one who is not old,,,,
135,Ajatashatru,Boy,Tamil,without enemies,,,,
136,Ajay,Boy,Tamil,unconquerable,,,,
137,Ajay,Boy,Tamil,"unconquerable, invincible",,,,
138,Ajisth,Boy,Tamil,Very inteligent,,,,
139,Ajit,Boy,Tamil,unconquerable,,,,
140,Ajit / Ajeet,Boy,Tamil,unconquerable,,,,
141,Ajitaabh,Boy,Tamil,whose lustre can't be diminished,,,,
142,Ajitabh,Boy,Tamil,one who has conquered the sky,,,,
143,Ajitesh,Boy,Tamil,Lord Vishnu,,,,
144,Ajoy,Boy,Tamil,Joyful,,,,
145,Akaash,Boy,Tamil,sky,,,,
146,Akand,Boy,Tamil,calm,,,,
147,Akarsh,Boy,Tamil,Attractive,,,,
148,Akash,Boy,Tamil,sky,,,,
149,Akhil,Boy,Tamil,entire,,,,
150,Akhilesh,Boy,Tamil,lord of the universe,,,,
151,Akshaj,Boy,Tamil,Lord Vishnu,,,,
152,Akshan,Boy,Tamil,Eye,,,,
153,Akshansh,Boy,Tamil,universe,,,,
154,Akshar,Boy,Tamil,imperishable,,,,
155,Akshat,Boy,Tamil,unharmed,,,,
156,Akshat,Boy,Tamil,"uninjurable, one who cannot be harmed",,,,
157,Akshay,Boy,Tamil,immortal,,,,
158,Akshay,Boy,Tamil,"indestructible, immortal",,,,
159,Akshayaguna,Boy,Tamil,Of Limitless Attributes. A Name for Lord Shiva,,,,
160,Akshaykeerti,Boy,Tamil,eternal fame,,,,
161,Akshit,Boy,Tamil,permanent,,,,
162,Akshobhya,Boy,Tamil,Lord Vishnu,,,,
163,Akul,Boy,Tamil,a name of Lord Shiva,,,,
164,Alagan,Boy,Tamil,Handsome,,,,
165,Alaganandan,Boy,Tamil,Handsome,,,,
166,Alaganban,Boy,Tamil,Handsome,,,,
167,Alagappan,Boy,Tamil,Handsome,,,,
168,Alagar,Boy,Tamil,God Sivan,,,,
169,Alagarasan,Boy,Tamil,King of Beauty,,,,
170,AlagarSami,Boy,Tamil,Handsome,,,,
171,Alagelil,Boy,Tamil,Handsome,,,,
172,Alagendhi,Boy,Tamil,Handsome,,,,
173,Alagendiran,Boy,Tamil,,,,,
174,Alagesan,Boy,Tamil,,,,,
175,Alaginiyan,Boy,Tamil,Handsome and Sweet,,,,
176,Alagiri,Boy,Tamil,,,,,
177,AlagiyaNambi,Boy,Tamil,Handsome and Confident,,,,
178,Alagu,Boy,Tamil,Handsome,,,,
179,AlaguCholan,Boy,Tamil,Handsome Cholan,,,,
180,Alagumalai,Boy,Tamil,,,,,
181,Alagumani,Boy,Tamil,Handsome Gem,,,,
182,Alagumuthu,Boy,Tamil,Handsome Gem,,,,
183,AlaguNathan,Boy,Tamil,Handsome,,,,
184,AlaguRathinam,Boy,Tamil,Handsome gem,,,,
185,AlaguSelvan,Boy,Tamil,Handsome,,,,
187,AlaguSivan,Boy,Tamil,God Sivan,,,,
188,AlaguSundaram,Boy,Tamil,,,,,
189,AlaguVel,Boy,Tamil,God Murugan,,,,
190,Alaiarasan,Boy,Tamil,King of Waves,,,,
191,Alak,Boy,Tamil,world; beautiful tresses,,,,
192,Alankar,Boy,Tamil,"Gold, Ornament",,,,
193,Alavandan,Boy,Tamil,,,,,
194,Alok,Boy,Tamil,cry of victory,,,,
195,Alok,Boy,Tamil,"cry of victory, invisible",,,,
196,Aloki,Boy,Tamil,brightness,,,,
197,Alop,Boy,Tamil,that which does not disappear,,,,
198,Alpesh,Boy,Tamil,Tiny,,,,
199,Aludaiyarasu,Boy,Tamil,,,,,
200,Amaan,Boy,Tamil,Peace,,,,
201,Amal,Boy,Tamil,"bright, clean, pure",,,,
202,Amal,Boy,Tamil,unblemished; pure,,,,
203,Amalendu,Boy,Tamil,full moon,,,,
204,Amalesh,Boy,Tamil,the pure one,,,,
205,Aman,Boy,Tamil,Peace,,,,
206,Amani,Boy,Tamil,"wishes, aspirations",,,,
207,Amar,Boy,Tamil,"forever, immortal",,,,
208,Amar,Boy,Tamil,the maker,,,,
209,Amardeep,Boy,Tamil,Eternal light,,,,
210,Amaresh,Boy,Tamil,name of Indra,,,,
211,Amaris,Boy,Tamil,Child of the Moon,,,,
212,Amarjeet,Boy,Tamil,Victorious,,,,
213,Amarnath,Boy,Tamil,immortal god,,,,
214,Amartya,Boy,Tamil,immortal,,,,
215,Ambalan,Boy,Tamil,Learned,,,,
216,Ambar,Boy,Tamil,sky,,,,
217,Ambar,Boy,Tamil,"sky, cloth cover",,,,
218,Ambareesh,Boy,Tamil,king of the sky,,,,
219,AmbigaiNathan,Boy,Tamil,,,,,
220,Ambikapathi,Boy,Tamil,Lord of Siva,,,,
221,Ambud,Boy,Tamil,cloud,,,,
222,Ambuj,Boy,Tamil,"born from water, lotus",,,,
223,Ambuj,Boy,Tamil,lotus,,,,
224,Ameet,Boy,Tamil,boundless,,,,
225,Ameya,Boy,Tamil,boundless,,,,
226,Ameya,Boy,Tamil,"boundless, magnanimous",,,,
227,Ameyatma,Boy,Tamil,Lord Vishnu,,,,
228,Ami,Boy,Tamil,nectar,,,,
229,Amil,Boy,Tamil,invaluable Amir,,,,
230,Amildhan,Boy,Tamil,Sweet,,,,
231,AmirdhaLingam,Boy,Tamil,,,,,
232,Amish,Boy,Tamil,honest,,,,
233,Amit,Boy,Tamil,boundless,,,,
234,Amit,Boy,Tamil,"endless, boundless",,,,
235,Amitaabh,Boy,Tamil,boundless lustre,,,,
236,Amitabh,Boy,Tamil,one with endless splendor,,,,
237,Amitava,Boy,Tamil,same as Amitabh,,,,
239,Amitbikram,Boy,Tamil,limitless prowess,,,,
240,Amitesh,Boy,Tamil,infinite god,,,,
241,Amlan,Boy,Tamil,unfading; everbright,,,,
242,Amod,Boy,Tamil,happiness,,,,
243,Amogh,Boy,Tamil,unerring,,,,
244,Amol,Boy,Tamil,priceless,,,,
245,Amol,Boy,Tamil,"priceless, valuable",,,,
246,Amolik,Boy,Tamil,priceless,,,,
247,Amoorta,Boy,Tamil,formless,,,,
248,Amresh,Boy,Tamil,Lord Indra,,,,
249,Amrik,Boy,Tamil,Nectar,,,,
250,Amrish,Boy,Tamil,Lord Indra,,,,
251,Amrit,Boy,Tamil,nectar,,,,
252,Amritambu,Boy,Tamil,moon,,,,
253,Amritaya,Boy,Tamil,The Immortal. Lord Vishnu,,,,
254,Amshu,Boy,Tamil,Atom,,,,
255,Amshul,Boy,Tamil,Bright,,,,
256,Amudan,Boy,Tamil,Sweet,,,,
257,Amul,Boy,Tamil,Priceless,,,,
258,Amulya,Boy,Tamil,priceless,,,,
259,Anaadi,Boy,Tamil,without beginning,,,,
260,Anaan,Boy,Tamil,clouds,,,,
261,Anadi,Boy,Tamil,Eternal,,,,
262,Anagh,Boy,Tamil,sinless,,,,
263,Anaimugan,Boy,Tamil,Elephant-headed,,,,
264,Anand,Boy,Tamil,bliss,,,,
265,Anand,Boy,Tamil,"bliss, happiness",,,,
266,Anandam,Boy,Tamil,Bliss,,,,
267,Anandan,Boy,Tamil,One who brings happiness,,,,
268,Anandi,Boy,Tamil,Bringer Of Joy. Lord Vishnu,,,,
269,Anandmoorti,Boy,Tamil,happiness personified,,,,
270,Anang,Boy,Tamil,cupid or Kamadeva,,,,
271,Anant,Boy,Tamil,infinite,,,,
272,Anantajeet,Boy,Tamil,The Victor Of Infinity. Lord Vishnu,,,,
273,Anantram,Boy,Tamil,eternal god,,,,
275,Ananyo,Boy,Tamil,"Sole, Peerless",,,,
276,Anay,Boy,Tamil,Radha's Husband,,,,
277,Anbalagan,Boy,Tamil,Lovely and Handsome,,,,
278,Anbanandan,Boy,Tamil,Lovely and Happy,,,,
279,Anbarasan,Boy,Tamil,Kind,,,,
280,Anbendhi,Boy,Tamil,Kind,,,,
281,Anboli,Boy,Tamil,Kind,,,,
282,Anbu,Boy,Tamil,Love; Kindness,,,,
283,AnbuCheliyan,Boy,Tamil,Kind and Prosperous,,,,
284,AnbudaiNambi,Boy,Tamil,Kind and Confident,,,,
285,Anbumadhi,Boy,Tamil,Kind and Intelligent,,,,
286,Anbumani,Boy,Tamil,Lovely Gem,,,,
287,Anbumoli,Boy,Tamil,Who Speaks Kind Words,,,,
288,AnbuNambi,Boy,Tamil,Kind and Confident,,,,
289,Anbuselvan,Boy,Tamil,Kind and Prosperous,,,,
290,Anbuvel,Boy,Tamil,,,,,
291,Andisami,Boy,Tamil,,,,,
292,Andiyappan,Boy,Tamil,,,,,
293,Anek,Boy,Tamil,many,,,,
294,Angaalappan,Boy,Tamil,,,,,
295,Angad,Boy,Tamil,an ornament,,,,
296,Angada,Boy,Tamil,a son of Lakshmana,,,,
297,Angada,Boy,Tamil,"bracelet, brother of Wali & Sugreev",,,,
298,Angaj,Boy,Tamil,son,,,,
299,Angak,Boy,Tamil,son,,,,
300,Angamuthu,Boy,Tamil,,,,,
301,Aniij,Boy,Tamil,Charming,,,,
302,Anik,Boy,Tamil,Soldier,,,,
303,Anikait,Boy,Tamil,Lord of the World,,,,
304,Aniket,Boy,Tamil,"Lord Shiva, wanderer",,,,
305,Anil,Boy,Tamil,wind,,,,
306,Anil -God of wind,Boy,Tamil,,,,,
307,Anilaabh,Boy,Tamil,spirit of the wind,,,,
308,Anilkumar,Boy,Tamil,son of wind ( Hanuman ),,,,
309,Animesh,Boy,Tamil,one with big beautiful eyes,,,,
310,Animesh,Boy,Tamil,to stare open-eyed,,,,
311,Aniruddha,Boy,Tamil,which can't be restricted,,,,
312,Anirudh,Boy,Tamil,Boundless,,,,
313,Anirudhha,Boy,Tamil,"independent, unstoppable",,,,
314,Anirvan,Boy,Tamil,undying,,,,
315,Anish,Boy,Tamil,Lord Vishnu; Lord Shiva,,,,
316,Anish,Boy,Tamil,supreme,,,,
317,Anit,Boy,Tamil,joyful unending,,,,
318,Anjal,Boy,Tamil,Hollow formed by joining two hands,,,,
319,Anjan,Boy,Tamil,eye liner,,,,
320,Anjappan,Boy,Tamil,Courageous,,,,
321,Anjas,Boy,Tamil,Fortright,,,,
322,Anjor,Boy,Tamil,Bright,,,,
323,Anjuman,Boy,Tamil,a garden,,,,
324,Ankal,Boy,Tamil,whole,,,,
325,Ankit,Boy,Tamil,conquered,,,,
326,Ankit,Boy,Tamil,the chosen one,,,,
327,Ankur,Boy,Tamil,new life,,,,
328,Ankur,Boy,Tamil,sprout,,,,
329,Ankush,Boy,Tamil,control,,,,
330,Ankush,Boy,Tamil,restraint,,,,
331,Anmol,Boy,Tamil,priceless,,,,
332,Annadurai,Boy,Tamil,,,,,
333,Annamalai,Boy,Tamil,,,,,
334,Annasami,Boy,Tamil,,,,,
335,Annuabhuj,Boy,Tamil,Lord Shiva,,,,
336,Anoop,Boy,Tamil,incomparable,,,,
337,Anoop / Anup,Boy,Tamil,"incomparable, the best",,,,
338,Anram,Boy,Tamil,Continuous,,,,
339,Ansh,Boy,Tamil,Portion,,,,
340,Anshu,Boy,Tamil,ray of light,,,,
341,Anshuk,Boy,Tamil,radiant,,,,
342,Anshul,Boy,Tamil,radiant,,,,
343,Anshul,Boy,Tamil,"radiant, bright or intelligent person",,,,
344,Anshumaan,Boy,Tamil,the sun,,,,
345,Anshuman,Boy,Tamil,Sun,,,,
346,Anshumat,Boy,Tamil,luminous,,,,
347,Antara,Boy,Tamil,Paragraph,,,,
348,Antariksh,Boy,Tamil,space,,,,
349,Antim,Boy,Tamil,Last,,,,
350,Anubhav,Boy,Tamil,experience,,,,
351,Anuj,Boy,Tamil,"later born, younger",,,,
352,Anuj,Boy,Tamil,younger brother,,,,
353,Anunay,Boy,Tamil,supplication; consolation,,,,
354,Anupam,Boy,Tamil,incomparable,,,,
355,Anuraag,Boy,Tamil,love,,,,
356,Anurag,Boy,Tamil,"attachment, devotion, love",,,,
357,"Anurup, Anuroop",Boy,Tamil,handsome,,,,
358,Anuttam,Boy,Tamil,unsurpassed,,,,
359,Anuva,Boy,Tamil,knowledge,,,,
360,Apoorva,Boy,Tamil,"exquisite, rare",,,,
361,Apoorva / Apurva,Boy,Tamil,extraordinary,,,,
362,Appadurai,Boy,Tamil,,,,,
363,Appasami,Boy,Tamil,,,,,
364,Appusami,Boy,Tamil,,,,,
366,Aprameya,Boy,Tamil,A Name of Lord Krishna,,,,
367,Aramani,Boy,Tamil,Righteous,,,,
368,AramVirumbi,Boy,Tamil,Righteous,,,,
369,Aran,Boy,Tamil,Righteous,,,,
370,Aranab,Boy,Tamil,ocean,,,,
371,Araneri,Boy,Tamil,Righteous,,,,
372,ArangaMani,Boy,Tamil,,,,,
373,Arangan,Boy,Tamil,,,,,
374,Arangannal,Boy,Tamil,,,,,
375,Arasan,Boy,Tamil,King,,,,
376,Arav,Boy,Tamil,peaceful,,,,
377,Aravaanan,Boy,Tamil,Righteous; Decent,,,,
378,Aravali,Boy,Tamil,Righteous,,,,
379,Archan,Boy,Tamil,worship,,,,
380,Archit,Boy,Tamil,worshipped,,,,
381,Ardhendu,Boy,Tamil,half moon,,,,
382,Areehah,Boy,Tamil,destroyer of enemies,,,,
383,Arha,Boy,Tamil,Lord Shiva,,,,
384,Arhat,Boy,Tamil,respectable,,,,
385,Ari,Boy,Tamil,Lion,,,,
386,Arihaan,Boy,Tamil,Destroyer of demons / rakshas,,,,
387,Arihant,Boy,Tamil,destroyer of enemies,,,,
388,Arihant,Boy,Tamil,one who has killed his enemies,,,,
389,Arij,Boy,Tamil,pleasant smell,,,,
390,Arima,Boy,Tamil,Lion,,,,
391,ArimaValavan,Boy,Tamil,,,,,
392,Arinan,Boy,Tamil,Intellectual,,,,
393,Arindam,Boy,Tamil,destroyer of enemies,,,,
394,Arivaali,Boy,Tamil,Intelligent; Smart,,,,
395,Arivalagan,Boy,Tamil,Intelligent and Handsome,,,,
396,Arivan,Boy,Tamil,Intelligent; Smart,,,,
397,Arivanan,Boy,Tamil,Intelligent; Smart,,,,
398,Arivarasan,Boy,Tamil,King of Intelligence,,,,
399,Arivoli,Boy,Tamil,Radiating with Intelligence,,,,
400,Arivu,Boy,Tamil,Intelligence,,,,
401,ArivuCheliyan,Boy,Tamil,Intelligent and Prosperous,,,,
402,ArivuChelvan,Boy,Tamil,One whose wealth is his intelligence,,,,
403,ArivudaiNambi,Boy,Tamil,Intelligent and confident,,,,
404,Arivumadhi,Boy,Tamil,Intelligent and Knowledgeable,,,,
405,Arivumani,Boy,Tamil,Intelligent gem,,,,
406,Arivunambi,Boy,Tamil,Intelligent and confident,,,,
407,Arja,Boy,Tamil,Divine,,,,
408,Arjit,Boy,Tamil,earned,,,,
409,Arjun,Boy,Tamil,one of the Pandava brothers,,,,
410,Arjun,Boy,Tamil,peacock,,,,
411,Arka,Boy,Tamil,offering to the sun,,,,
412,Arman,Boy,Tamil,Wish,,,,
413,Arnav,Boy,Tamil,"ocean, sea",,,,
415,Arnesh,Boy,Tamil,lord of the sea,,,,
416,Arpan,Boy,Tamil,Offering,,,,
417,Arshad,Boy,Tamil,Heavenly,,,,
418,Artagnan,Boy,Tamil,The Knower of All Meanings,,,,
419,Arugan,Boy,Tamil,,,,,
420,Arul,Boy,Tamil,God's Blessing; God's Grace,,,,
421,Arulaalan,Boy,Tamil,Benevolent; Charitable,,,,
422,ArulAnandam,Boy,Tamil,,,,,
423,Arulappan,Boy,Tamil,,,,,
424,Arulchol,Boy,Tamil,God's word,,,,
425,Aruldasan,Boy,Tamil,,,,,
426,Arulmani,Boy,Tamil,Blessed Gem,,,,
427,Arulmoli,Boy,Tamil,Gospel,,,,
428,Arulmurugan,Boy,Tamil,God Murugan,,,,
429,Arulnathan,Boy,Tamil,,,,,
430,Aruloli,Boy,Tamil,Radiance,,,,
431,ArulVadivel,Boy,Tamil,God Murugan,,,,
432,ArulVelan,Boy,Tamil,God Murugan,,,,
433,Arumai,Boy,Tamil,Precious; Unique,,,,
434,ArumaiChelvam,Boy,Tamil,Precious,,,,
435,ArumaiNathan,Boy,Tamil,Precious,,,,
436,Arumporul,Boy,Tamil,Unique,,,,
437,Arumugamani,Boy,Tamil,God Murugan,,,,
438,Arumugan,Boy,Tamil,God Murugan,,,,
439,ArumugAnandan,Boy,Tamil,,,,,
440,ArumugaNathan,Boy,Tamil,,,,,
441,ArumugaSami,Boy,Tamil,God Murugan,,,,
442,ArumugaVadivel,Boy,Tamil,God Murugan,,,,
443,Arun,Boy,Tamil,Brilliant,,,,
444,Arun,Boy,Tamil,sun,,,,
445,Arun,Boy,Tamil,Sun God,,,,
446,Arunachaleshwara,Boy,Tamil,"Lord of the Hills, Sun",,,,
447,Arunan,Boy,Tamil,,,,,
448,Arunchol,Boy,Tamil,God's word,,,,
449,ArunKumar,Boy,Tamil,,,,,
450,Arunmoli,Boy,Tamil,,,,,
451,ArutSelvam,Boy,Tamil,Divine Wealth,,,,
452,Arvind,Boy,Tamil,lotus,,,,
453,Arya,Boy,Tamil,"civilised, noble",,,,
454,Arya,Boy,Tamil,"true, well mannered, one who hails from a noble family ( a King).",,,,
455,Aryaman,Boy,Tamil,The sun,,,,
456,Aryan,Boy,Tamil,Noble or civilized,,,,
457,Asav,Boy,Tamil,essence,,,,
458,Aseelah,Boy,Tamil,from noble family,,,,
459,Aseem,Boy,Tamil,limitless,,,,
460,Ashank,Boy,Tamil,Faith,,,,
461,Ashcharya,Boy,Tamil,surprise,,,,
462,Asheem,Boy,Tamil,Boundless,,,,
463,Ashesh,Boy,Tamil,benediction,,,,
464,Ashirvad,Boy,Tamil,Blessing,,,,
465,Ashish,Boy,Tamil,blessing,,,,
466,Ashish,Boy,Tamil,blessings,,,,
467,Ashit,Boy,Tamil,Lord of the Rings,,,,
468,Ashlesh,Boy,Tamil,to embrace,,,,
469,Ashok,Boy,Tamil,one without sorrow,,,,
470,Ashok,Boy,Tamil,without sorrow,,,,
471,Ashray,Boy,Tamil,Shelter,,,,
472,Ashutosh,Boy,Tamil,Lord Shiva,,,,
473,Ashutosh,Boy,Tamil,"one who becomes happy easily, Shiva",,,,
474,Ashvath,Boy,Tamil,Strong,,,,
475,Ashvin,Boy,Tamil,a cavalier,,,,
476,Ashwaghosh,Boy,Tamil,name of Buddhist philosopher,,,,
477,Ashwatthama,Boy,Tamil,disciple of Dronacharya,,,,
478,Ashwatthama,Boy,Tamil,fiery tempered,,,,
479,Ashwin,Boy,Tamil,Hindu month,,,,
480,Ashwini,Boy,Tamil,one of the constallations,,,,
481,Asit,Boy,Tamil,not white,,,,
482,Asitvaran,Boy,Tamil,dark complexioned,,,,
483,Asiya,Boy,Tamil,one who tends to the weak and heals,,,,
484,Asuman,Boy,Tamil,lord of vital breaths,,,,
485,Atal,Boy,Tamil,immoveable,,,,
486,Atal,Boy,Tamil,"stable, unavoidable",,,,
487,Atambhu,Boy,Tamil,The Holy trinity,,,,
488,Atanu,Boy,Tamil,cupid,,,,
489,Ateet,Boy,Tamil,past,,,,
490,Atharvan,Boy,Tamil,knower of the Artharva vedas,,,,
491,Atiksh,Boy,Tamil,Wise,,,,
492,Atithi,Boy,Tamil,guest,,,,
493,Atma,Boy,Tamil,soul,,,,
494,Atmajyoti,Boy,Tamil,light of soul,,,,
495,Atmajyoti,Boy,Tamil,light of soul ( atma),,,,
496,Atman,Boy,Tamil,the self,,,,
497,Atmananda,Boy,Tamil,blissful soul,,,,
498,Atraiu,Boy,Tamil,Great Warrior,,,,
499,Atral,Boy,Tamil,Skilled,,,,
500,Atralarasu,Boy,Tamil,Skilled,,,,
501,Atul,Boy,Tamil,matchless,,,,
502,Atulya,Boy,Tamil,unequalled,,,,
503,Atulya,Boy,Tamil,"unweighable, incomparable",,,,
504,Avadhesh,Boy,Tamil,King Dasaratha,,,,
505,Avalok,Boy,Tamil,who beholds,,,,
506,Avaneesh,Boy,Tamil,master of the earth,,,,
507,Avani,Boy,Tamil,Universal,,,,
508,AvaniKo,Boy,Tamil,King,,,,
509,Avanindra,Boy,Tamil,king of the earth,,,,
511,Avanish,Boy,Tamil,God of the earth,,,,
512,AvaniVelan,Boy,Tamil,,,,,
513,Avashesh,Boy,Tamil,Remainder,,,,
514,Avasyu,Boy,Tamil,Lord Indra,,,,
515,Avatar,Boy,Tamil,incarnation,,,,
516,Avi,Boy,Tamil,The sun and air,,,,
517,Avichal,Boy,Tamil,unmovable,,,,
518,Avijit,Boy,Tamil,Invincible,,,,
519,Avikam,Boy,Tamil,Diamond,,,,
520,Avilash,Boy,Tamil,Faithful,,,,
521,Avinash,Boy,Tamil,indestructible,,,,
522,Avinashi,Boy,Tamil,indestructable,,,,
523,Avirat,Boy,Tamil,Continuous,,,,
524,Avkash,Boy,Tamil,limitless space,,,,
525,Avtar,Boy,Tamil,Holy incarnation,,,,
